1422629490743,1422629492743,34
1422629495152,1422629499732,94
1422629501522,1422629505849,95
1422629507213,1422629511556,35
1422629513047,1422629517152,36
1422629518651,1422629521776,96
1422629523052,1422629525921,97
1422629527786,1422629530685,37
1422629532364,1422629535214,38
1422629537055,1422629540053,98
1422629542044,1422629546380,99
1422629548142,1422629551359,39
1422629553160,1422629556365,40
1422629558101,1422629580679,100
1422629582430,1422629586999,101
1422629588774,1422629593062,41
1422629594941,1422629598159,42
1422629599857,1422629604335,102
1422629606002,1422629609041,43
1422629610749,1422629612749,43
1422629971577,1422629973577,43
1422629975122,1422629980426,44
1422629981973,1422629985219,104
1422629987142,1422629990686,105
1422629992542,1422629995613,45
1422629997449,1422630000355,46
1422630002084,1422630005061,106
1422630006855,1422630010429,107
1422630012096,1422630015168,47
1422630016881,1422630020073,48
1422630021658,1422630024955,108
1422630026712,1422630030671,109
1422630032222,1422630035573,49
1422630037243,1422630040733,50
1422630042270,1422630045271,110
1422630046907,1422630049704,111
1422630051288,1422630054259,51
1422630055977,1422630059358,52
1422630061054,1422630064343,112
1422630066068,1422630069278,53
1422630070868,1422630072868,52
1423054953547,1423054955547,54
1423054957388,1423054960170,55
1423054962007,1423054964812,56
1423054966695,1423054969503,57
1423054971292,1423054974344,58
1423054976056,1423054978746,59
1423054980605,1423054984095,60
1423054986318,1423054989180,61
1423054990912,1423054994027,62
1423054996045,1423054998985,63
1423055000779,1423055003679,64
1423055005348,1423055008146,124
1423055009973,1423055013013,123
1423055015173,1423055017949,122
1423055019646,1423055022465,121
1423055023996,1423055026741,120
1423055028298,1423055031104,119
1423055032660,1423055035491,118
1423055037689,1423055040345,117
1423055042203,1423055045076,116
1423055046697,1423055049555,115
1423055051086,1423055053866,114
1423055055343,1423055059467,113
1423055061542,1423055064502,112
1423055066312,1423055069349,125
1423055070759,1423055072759,65
1422631507032,1422631509032,66
1422631510448,1422631514024,66
1422631515372,1422631518241,24
1422631519554,1422631522248,25
1422631525078,1422631565614,67
1422631566962,1422631571130,127
1422631572647,1422631575488,155
1422631577038,1422631579818,165
1422631581242,1422631584064,175
1422631585630,1422631601118,174
1422631602399,1422631606849,164
1422631608054,1422631611155,154
1422631612729,1422631616922,126
1422631618172,1422631623162,66
1422631624223,1422631626223,66
1422631876890,1422631878890,166
1422631880809,1422631885084,156
1422631886846,1422631889739,128
1422631891427,1422631894214,68
1422631895625,1422631898337,26
1422631899665,1422631902495,27
1422631903882,1422631906827,69
1422631908055,1422631911033,129
1422631912401,1422631915334,157
1422631916409,1422631919918,167
1422631921318,1422631924165,168
1422631925602,1422631928299,158
1422631929767,1422631932600,130
1422631934010,1422631961093,70
1422631962448,1422631965426,28
1422631966757,1422631969645,29
1422631971001,1422631973814,71
1422631975311,1422631978234,131
1422631979725,1422631982554,159
1422631983980,1422631986910,169
1422631988306,1422631991326,176
1422631992796,1422631995712,181
1422631997002,1422632003986,182
1422632005315,1422632011900,177
1422632013205,1422632016262,170
1422632017608,1422632020450,160
1422632021827,1422632024614,132
1422632025822,1422632028596,72
1422632029941,1422632032917,30
1422632034367,1422632037223,31
1422632038608,1422632041355,73
1422632042680,1422632045520,133
1422632047009,1422632050345,161
1422632052160,1422632055131,171
1422632057227,1422632060093,178
1422632061956,1422632063956,183
1422956480690,1422956484786,75
1422956487561,1422956491393,76
1422956493692,1422956496909,77
1422956498933,1422956502109,78
1422956504299,1422956508157,79
1422956510239,1422956513321,80
1422956515492,1422956518747,81
